folksong,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class,Country
sioux001,0.725647327696038,0.214402240610143,0.0244305967059423,220.660742872349,0.28311798088411,369.634868230234,12,0.493043932769375,3.13044289905966,7,1.06521739130435,1.51043511543395,4,0.38388274568681,1.3125,2,2,0.495749800369001,0.260869565217391,0.293478260869565,0.0869565217391304,93,22.625,4.11049723756906,0.753217176471925,1.11929979277744,0.183850360080457,0.965937379405974,1.13916855634744,0.166666666666667,2.8996609847771,-0.545699781416501,1.25581395348837,minor,descending,-1,cccb,sioux
sioux002,0.91948228410409,0.823913043478261,0.0129598260033043,110.923575479341,0.0166666666666667,189.334941948552,12,0.536865119571468,3.66675275381035,5,1.5,1.70388550274119,5,0.509383826076888,1.8334,6,1,0.453501838700622,0.53125,0,0,33,19,1.73684210526316,0.864335367498047,1.26800511019703,0.222492309921933,1.05263157894737,1.19680024526555,0.166666666666667,3.5924793205016,-0.846456424879758,0.676056338028169,minor,descending,-1,cccc,sioux
sioux003,0.807435145025061,0.516240697482077,0.0215875255013186,178.745221997635,0.209348370927318,265.702240957836,12,0.39690901529212,3.02570290160493,5,1,1.55250005161237,5,0.374374632164669,0.875,2,2,0.30486316859517,0.5,0.275,0.1,41,9.5,4.31578947368421,0.776608175418617,1.04970424898515,0.231090929543617,2.11122766122766,2.28599339345953,1,2.891108768473,-0.752699556247409,0.526315789473684,minor,descending,-1,bccb,sioux
sioux004,0.89473953291366,0.760523023023023,0.016914370946629,153.626292317718,0.0310769230769231,239.478097854055,17,0.611763311015923,5.69532277486292,7,1.34146341463415,1.89221769489614,5,0.513234705938224,1.375,6,1,0.605867080054961,0.170731707317073,0.146341463414634,0.121951219512195,42,16.625,2.52631578947368,0.711519609903246,1.03307502025095,0.183120481832521,2.14856286555203,3.42768915765439,0.375,5.84089904851259,-0.931060162542879,0.932203389830508,major,descending,-1,bcdc,sioux
sioux005,0.838335041862855,0.508789063904652,0.0166255675356404,155.671871200909,0.137399459114102,338.923886911046,19,0.627776570101691,6.17376758247871,12,1.77380952380952,2.00812320504873,4,0.526969930289797,1.375,4,3,0.380277757930056,0.464285714285714,0.297619047619048,0.0952380952380952,85,37.5,2.26666666666667,0.928400154215056,1.50751619105614,0.225122681498223,1.89434920634921,2.27825765371479,0.333333333333333,6.39826583772967,-0.63900057598987,2.39622641509434,minor,descending,-1,cbcb,sioux
sioux006,0.830226737629177,0.48389880952381,0.0252398582314505,243.108126062925,0.165817594911359,318.336344516802,19,0.676284557496286,6.14150748928971,8,1.50704225352113,1.60243778070984,5,0.56318901754706,1.4167,6,3,0.63126438198947,0.309859154929577,0.23943661971831,0.0845070422535211,72,25,2.88,0.936757358640816,1.65300097898303,0.242726097861533,0.763844155844156,1.47811249161448,0,5.83412693014448,-0.931795502878233,1.2037037037037,minor,descending,-1,cbbc,sioux
sioux007,0.842611402390984,0.499553571428571,0.0180180873727814,172.989043997229,0.164187064502488,346.833108005195,19,0.622662867482096,5.8706783389,12,1.91954022988506,2.45052624061055,5,0.500346210209024,1.375,2,2,0.447101960833777,0.298850574712644,0.28735632183908,0.114942528735632,88,28.25,3.11504424778761,0.841085946260562,1.11822099495531,0.189698595566666,2.27732673284275,3.07788752825808,0.5,5.67768954578038,-0.498883572276377,1.35526315789474,major,descending,-1,bcbc,sioux
sioux008,0.852479377737277,0.604109896271377,0.0250300684869699,233.847874243633,0.125,260.325690505407,15,0.544250495210467,4.94876618678917,5,1.52173913043478,1.61574379755074,4,0.476961270564901,1.25,3,1,0.406161515434174,0.0217391304347826,0.0217391304347826,0.369565217391304,47,16.5,2.84848484848485,0.843342156791639,1.3982815030774,0.240667094424054,1.32168437622983,1.92498374432364,0.333333333333333,5.13037857411376,-0.884506007255617,1.2,minor,descending,-1,cccc,sioux
sioux009,0.806121358425948,0.465309465309465,0.0238862521022238,210.44512365008,0.220750988142292,279.747375219902,12,0.424134414518328,3.80867601023917,7,1.56521739130435,2.11504845138139,5,0.445604138275854,0.8334,3,2,0.360703175271689,0.565217391304348,0.173913043478261,0.0869565217391304,47,13,3.61538461538462,0.833757457978629,1.16557597983182,0.205902684618707,1.66800832755031,2.29671535954342,0.4,3.87953859010722,-0.763238418887015,1.2,major,descending,-1,ccbc,sioux
sioux010,0.807218870540197,0.491457302670284,0.0275280594996619,236.982378482843,0.116666666666667,255.240045993762,8,0.371908678092591,2.47449451870945,5,1.25,2.00534998726621,5,0.359650362057579,1.375,6,3,0.418683610054625,0.638888888888889,0.138888888888889,0,37,10.5,3.52380952380952,0.718585119194631,1.0450238794203,0.195352729101982,2.38095238095238,3.99862613768917,0.8,2.34028077061925,-0.601369015281035,0.775862068965517,major,descending,-1,cccb,sioux
sioux011,0.8496661695667,0.49454356954357,0.0269410598482196,255.875718716705,0.243745143745144,277.629338667083,12,0.537600647925603,3.99629800938737,8,1.47826086956522,1.7856107630448,5,0.527562626768482,0.875,2,1,0.483606043934517,0.304347826086957,0.152173913043478,0.173913043478261,47,14,3.35714285714286,0.802234005612013,1.05338355334114,0.229969393875233,1.13551020408163,1.44853216854011,0.4,3.92756910655408,-0.625345215005295,0.944444444444444,major,descending,-1,bccb,sioux
